"","x","y"
"1",-58.53024702,-34.61215971
"1112",-58.53024884,-34.61441326
"2223",-58.53025067,-34.61666681
"2774",-58.53025249,-34.61892035
"2885",-58.53025432,-34.6211739
"2996",-58.53025615,-34.62342745
"3107",-58.53025797,-34.62568099
"3218",-58.5302598,-34.62793454
"3329",-58.53026163,-34.63018808
"2",-58.53026345,-34.63244163
"113",-58.53026528,-34.63469517
"224",-58.53026711,-34.63694871
"335",-58.53026894,-34.63920225
"446",-58.53027076,-34.64145579
"557",-58.53027259,-34.64370933
"668",-58.53027442,-34.64596287
"779",-58.53027625,-34.6482164
"890",-58.53027807,-34.65046994
"1001",-58.52788388,-34.60878067
"1113",-58.52788564,-34.61103422
"1224",-58.5278874,-34.61328777
"1335",-58.52788917,-34.61554132
"1446",-58.52789092,-34.61779487
"1557",-58.52789268,-34.62004841
"1668",-58.52789445,-34.62230196
"1779",-58.52789621,-34.62455551
"1890",-58.52789797,-34.62680905
"2001",-58.52789973,-34.62906259
"2112",-58.5279015,-34.63131614
"2224",-58.52790326,-34.63356968
"2335",-58.52790503,-34.63582322
"2446",-58.52790679,-34.63807676
"2557",-58.52790855,-34.6403303
"2668",-58.52791032,-34.64258384
"2719",-58.52791208,-34.64483738
"2730",-58.52791385,-34.64709092
"2741",-58.52791561,-34.64934446
"2752",-58.52791738,-34.65159799
"2763",-58.52791914,-34.65385153
"2775",-58.52792091,-34.65610506
"2786",-58.52551924,-34.60314802
"2797",-58.52552093,-34.60540158
"2808",-58.52552263,-34.60765513
"2819",-58.52552433,-34.60990868
"2830",-58.52552603,-34.61216223
"2841",-58.52552773,-34.61441578
"2852",-58.52552942,-34.61666933
"2863",-58.52553112,-34.61892288
"2874",-58.52553282,-34.62117643
"2886",-58.52553452,-34.62342997
"2897",-58.52553621,-34.62568352
"2908",-58.52553791,-34.62793706
"2919",-58.52553961,-34.63019061
"2930",-58.52554131,-34.63244415
"2941",-58.52554301,-34.63469769
"2952",-58.52554471,-34.63695124
"2963",-58.52554641,-34.63920478
"2974",-58.52554811,-34.64145832
"2985",-58.52554981,-34.64371185
"2997",-58.52555151,-34.64596539
"3008",-58.52555321,-34.64821893
"3019",-58.52555491,-34.65047247
"3030",-58.52555661,-34.652726
"3041",-58.52555831,-34.65497953
"3052",-58.52556002,-34.65723307
"3063",-58.52315491,-34.59751533
"3074",-58.52315655,-34.59976888
"3085",-58.52315818,-34.60202244
"3096",-58.52315981,-34.60427599
"3108",-58.52316145,-34.60652955
"3119",-58.52316308,-34.6087831
"3130",-58.52316471,-34.61103665
"3141",-58.52316635,-34.6132902
"3152",-58.52316798,-34.61554375
"3163",-58.52316961,-34.6177973
"3174",-58.52317125,-34.62005085
"3185",-58.52317288,-34.62230439
"3196",-58.52317452,-34.62455794
"3207",-58.52317615,-34.62681148
"3219",-58.52317779,-34.62906503
"3230",-58.52317942,-34.63131857
"3241",-58.52318106,-34.63357211
"3252",-58.52318269,-34.63582566
"3263",-58.52318433,-34.6380792
"3274",-58.52318597,-34.64033274
"3285",-58.5231876,-34.64258628
"3296",-58.52318924,-34.64483982
"3307",-58.52319088,-34.64709335
"3318",-58.52319251,-34.64934689
"3330",-58.52319415,-34.65160043
"3341",-58.52319579,-34.65385396
"3352",-58.52319742,-34.6561075
"3363",-58.52319906,-34.65836103
"3374",-58.52079248,-34.59413614
"3385",-58.52079405,-34.5963897
"3396",-58.52079561,-34.59864325
"3407",-58.52079718,-34.60089681
"3418",-58.52079876,-34.60315036
"3429",-58.52080033,-34.60540392
"3",-58.52080189,-34.60765747
"14",-58.52080346,-34.60991102
"25",-58.52080503,-34.61216457
"36",-58.5208066,-34.61441812
"47",-58.52080817,-34.61667167
"58",-58.52080974,-34.61892522
"69",-58.52081132,-34.62117877
"80",-58.52081289,-34.62343231
"91",-58.52081446,-34.62568586
"102",-58.52081603,-34.6279394
"114",-58.5208176,-34.63019295
"125",-58.52081917,-34.63244649
"136",-58.52082074,-34.63470004
"147",-58.52082231,-34.63695358
"158",-58.52082389,-34.63920712
"169",-58.52082546,-34.64146066
"180",-58.52082703,-34.6437142
"191",-58.52082861,-34.64596774
"202",-58.52083018,-34.64822127
"213",-58.52083175,-34.65047481
"225",-58.52083332,-34.65272834
"236",-58.5208349,-34.65498188
"247",-58.52083647,-34.65723541
"258",-58.52083804,-34.65948895
"269",-58.52083962,-34.66174248
"280",-58.51842723,-34.58624978
"291",-58.51842873,-34.58850334
"302",-58.51843023,-34.5907569
"313",-58.51843174,-34.59301046
"324",-58.51843325,-34.59526402
"336",-58.51843475,-34.59751757
"347",-58.51843625,-34.59977113
"358",-58.51843776,-34.60202469
"369",-58.51843927,-34.60427824
"380",-58.51844077,-34.60653179
"391",-58.51844228,-34.60878535
"402",-58.51844378,-34.6110389
"413",-58.51844529,-34.61329245
"424",-58.5184468,-34.615546
"435",-58.5184483,-34.61779955
"447",-58.51844981,-34.6200531
"458",-58.51845132,-34.62230664
"469",-58.51845283,-34.62456019
"480",-58.51845433,-34.62681373
"491",-58.51845584,-34.62906728
"502",-58.51845735,-34.63132082
"513",-58.51845885,-34.63357436
"524",-58.51846036,-34.63582791
"535",-58.51846187,-34.63808145
"546",-58.51846338,-34.64033499
"558",-58.51846489,-34.64258853
"569",-58.5184664,-34.64484207
"580",-58.51846791,-34.6470956
"591",-58.51846941,-34.64934914
"602",-58.51847092,-34.65160268
"613",-58.51847243,-34.65385621
"624",-58.51847394,-34.65610975
"635",-58.51847545,-34.65836328
"646",-58.51847696,-34.66061682
"657",-58.51847847,-34.66287035
"669",-58.5160653,-34.5828705
"680",-58.51606674,-34.58512406
"691",-58.51606818,-34.58737762
"702",-58.51606962,-34.58963118
"713",-58.51607106,-34.59188474
"724",-58.51607251,-34.5941383
"735",-58.51607395,-34.59639185
"746",-58.51607539,-34.59864541
"757",-58.51607683,-34.60089897
"768",-58.51607827,-34.60315252
