"","X","hexacities","CalleInund","CampaVerde","Contenedor","ReparVered","AutoMalEst","Manteros","ReparLumin","Squatted","DerratTerr","DerratViaP","CablCortOC","PlagaArb","AvsCompl","AvsLocal","AvsPpal","ViasPpales","Poblacion2","Hogares2","HogConNBIs","NBIratio","INSE","ATM","CTreeHeigh","CTreeDiam","CTreeIx","CntCTree","Gyms","ActCivil","CntActCivi","ActComerci","CntActCome","NoClasific","CntNoClasi","NoEdificab","CntNoEdifi","Residencia","CntResiden","SPML","CntSPML","count_2","SupTotal","rActCivil","rActComerc","rNoClasif","rNoEdif","rResidenci","rSPML","PrecioM2","MtsBus","Poblacion","Subte","SupEdif","Starbucks","Martinez","Farmacias","res","McDonalds","ReclComerc","LineasBus1","ParadasBus","LineasBus2","ParadasB_1","Canteros","Parques","RobosAutos","Hogares","Argentinos","Extranjero","CalMat1","CalMat2","CalMat3","CalMat4","CalConstr1","CalMatBasi","CalMatInsu","CalConex1","CalConexBa","CalConexIn","Borrar4","rExtranjer","rMalCalMat","rMalCalCon","rMalCalC_1","PtreeHeigh","PTreeDiam","PTreeIx","CntPtree","HurtoAut_1","RoboAutom","HurtoSinVi","RoboConVio","id_old","VamosJunt","UC","ECO","FIT","OTROS","BARRIO","COMUNA","id_2","SUACItotal","nComercios","nComSPilch","Etiquetas","rVamosJunt","rUC","rECO","rFIT","rOTROS","pph","id_3","mtrSanNic","CPTreeIx","Transporte","SupEdifd","Crimen","NivelSocioecon","Vegetacion"
"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682.292011807797,332.766505335893,59.9269819367133,0.251343129107675,6.1809479674413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012.86864349095,31847.7192884064,682.292011807797,0,0,0,0,0,0,0,0,0,0,0,0,33437.7651576016,0,0,335.563197533485,473.90668565585,871.987541520926,342.686631985738,153.109639546141,6.32790451278892,0,342.580542247694,37.3410440365838,15.3669630227895,342.580542247694,37.3410440365838,15.3669630227895,1,0.819998395539565,0.0387860551745889,0.970999999818284,0.970999999818284,0,0,0,0,0,0,0,0,1,0.902563135808715,0.247299699268124,0.131134435521203,0.0464356689884106,0.0953182122610832,"VILLA REAL",10,1,0,0,0,1,0.702318085229423,0.3298949450451,0.102491936537564,0.0677563548387097,0.009551801,4.16361859967517,1,90.4498699622239,0,2.73460204741065,1,0.5,3.71252795514595,1
"2",2,2,0,0,0,0,187.009814563435,0,0,0,0,0,0,0,0,0,0,0,1434.53858878238,617.006173120407,90.7623225141472,0.0943020052978213,6.1809479674413,0,501.32582186751,2291.00333083292,39085.3788506522,42.9009641446439,0,0,0,0,0,0,0,0,0,52361.027182179,63.6045101477755,0,0,29.5763499169722,51539.3500578599,0,0,0,0,1,0,2124.62781093416,41416.3254188409,1434.53858878238,0,32228.0068179799,0,0,0,0,0,0,35.8792025572773,18.9911416129961,34.8340329344429,18.9911416129961,33477.7674809452,0,0,618.871875867096,999.434887625546,1337.11520675822,590.118882204221,225.333608755732,34.0588590458777,18.4695226164961,589.764928908815,84.843688932473,106.982815102104,589.764928908815,84.843688932473,106.982815102104,2.91033682490122,0.819995874646169,0.0751767913555449,0.970999999461675,0.970999999461675,0,0,0,0,0,0,0,16.5970511177606,2,0.898350263038452,0.257168805719308,0.131134435521203,0.0474603158157731,0.0921302567273347,"VILLA REAL",10,2,338.967852611258,0,0,2,0.702318085229423,0.3298949450451,0.102491936537564,0.0677563548387097,0.009551801,4.26128418170403,2,88.0635755825844,57662.5264849766,7.19459733087238,2.37112429885097,0.62168064029865,3.97944204902419,2.37112429885097
"3",3,3,0,0,0,17.3104452370587,114.297332349619,0,0,5.99785038355246,8.97378930553169,0,0,0,0,0,0,0,1731.16019070923,720.595902943821,48.9201671229121,0.0296983098805143,6.1809479674413,0,776.563612970424,3257.20662959252,44415.0017351837,91.5190325600979,0,65676.2120409701,18.8630828058546,26344.3381929678,92.193433827654,0,0,0,0,93661.4409893997,185.210132921172,0,0,92.3088705329809,100319.05299382,0.176299864073909,0.171074408642056,0,0,0.921435704306493,0,2160.80383984056,38999.8687223021,1731.16019070923,0,82825.1334678729,0,0,0,0,0,0,34.4883865603684,16.5950308223969,33.4520725619882,16.5950308223969,33477.3602835708,0,0,721.404588204256,1207.38234856102,1473.78915220711,675.744823259472,244.902982129001,49.4571412064816,30.0244242262176,675.452376681657,99.0958572477932,157.559928168927,675.452376681657,99.0958572477932,157.559928168927,1,0.819994229113645,0.0839187978829789,0.970999999099819,0.970999999099819,0,0,0,0,0,0,32.8693795774683,45.9011430234616,3,0.892625474287011,0.26575639040347,0.129140143902503,0.0484909751421068,0.0921302567273347,"VILLA REAL",10,3,1111.3810884374,0,0,3,0.702318085229423,0.3298949450451,0.102491936537564,0.0677563548387097,0.009551801,4.29487698255962,3,86.4584814412869,65094.0296273547,6.62579484982733,2.37112429885097,1.72721673451835,3.97944204902419,2.37112429885097
"4",4,4,0,0,0,17.3104452370587,554.562795239809,0,0,0,8.71849983294267,0,0,0,0,0,668.940175680367,678.093250109149,1794.57858304655,730.461966557172,50.952952522321,0.0301102993590831,6.29406026452118,0,548.688261142033,2238.48154289472,33713.9123926127,58.3684701995776,0,0,0,44877.0576623036,282.052118587139,0,0,54992.8960706054,23.254055211193,69486.6358182616,122.039768337422,20565.1196491408,22.8348766893008,63.4692816247818,89859.1951788543,0,0.761828359617818,0,0.972016831542696,0.353519772987618,0.521834230147227,2247.79712728523,44484.9824750546,1794.57858304655,0,67040.3207805041,0,0,6.43927033334937,0,0,11.1552959362955,38.2357503628784,25.9953202473312,37.1823101497591,25.9953202473312,33472.8623249641,0,0,731.30890083026,1272.54115982226,1332.63113776625,674.414630817755,288.8720150911,77.1703152668588,13.9431072780841,674.125173505279,136.589397737538,108.186355677265,674.125173505279,136.589397737538,108.186355677265,4.42404243037059,0.819232710071955,0.117534274688997,0.97099999997735,0.97099999997735,0,0,0,0,0,0,0,45.9011430234616,4,0.888603278088218,0.272085733859516,0.12717021503416,0.0495276764987425,0.0937141915710014,"VILLA REAL",10,4,1041.03884985588,297.645718727437,118.485681971975,4,0.702318085229423,0.3298949450451,0.102491936537564,0.0677563548387097,0.009551801,4.50845971528508,4,86.4584814412869,50116.8046337799,7.86300726665558,2.37112429885097,1.35716986392888,4.49786957055965,2.37112429885097
"5",5,5,0,0,0,6.95916231947081,187.009814563435,0,0,0,7.98018276000858,0,0,0,0,0,0,0,1782.02527874733,713.910549137099,58.1315249458173,0.0372856148854171,6.1809479674413,0,485.066475031523,2159.92154313986,32197.9722968485,52.0467861646595,0,103019.563402669,11.5776550904883,0,0,0,0,0,0,76131.7721459837,121.44805517268,10864.695519638,9.60931856332724,58.8540034329304,87225.9190820419,0.74749076993755,0,0,0,0.608552477482101,0.101317656200724,2305.33698498754,41071.3754417592,1782.02527874733,0,70549.387084705,0,0,0,0,0,0,31.0828232905173,18.9911416129961,30.0802811774139,18.9911416129961,33476.4838571608,0,9.59992309969494,714.615767337129,1274.05384045862,1190.21240094968,654.68362897614,301.105478693709,82.7932978985748,0,654.431914415021,147.017293833211,78.23679972539,654.431914415021,147.017293833211,78.23679972539,2.91033682490122,0.775514346846227,0.125611188919921,0.970999999994277,0.970999999994277,0,0,0,0,0,7.91202404145742,32.8693795774683,34.6336451825581,5,0.885825039054185,0.274174679673991,0.129140143902503,0.0495276764987425,0.0953182122610832,"VILLA REAL",10,5,694.921543375045,0,0,5,0.702318085229423,0.3298949450451,0.102491936537564,0.0677563548387097,0.009551801,4.72093495955456,5,88.8618087776073,47975.8803651043,6.85469134961122,2.37112429885097,3.34104919099499,4.24106504337938,2.37112429885097
"6",6,6,0,0,0,11.7261481101677,0,0,15.1991471180343,0,0,0,0,0,0,0,0,0,1464.87194985472,609.882073281431,208.919022010756,0.314608850934693,6.1809479674413,0,432.919395537465,1890.75086485714,27110.8132950732,49.4717792991595,0,79033.0319903323,12.3668764750904,0,0,77660.8497727681,19.0908188110259,0,0,70413.8833727575,87.3777941670969,0,0,44.6152386780976,79689.0829272658,0.479760790557509,0,0.83825539037928,0,0.617954075234388,0,2444.61944906357,40808.4576265269,1464.87194985472,0,60489.1725665812,0,0,0,0,0,0,32.907930790381,16.5950308223969,31.8851812061337,16.5950308223969,33477.2651842331,0,0,612.479461392423,1029.47787664505,1296.15013170319,579.987667875519,251.38628810568,65.4736399010747,0,579.165676801555,108.535549600782,56.1144642868472,579.165676801555,108.535549600782,56.1144642868472,2.91033682490122,0.819978024679505,0.125611188919921,0.970999999970062,0.970999999970062,0,0,0,0,0,0,32.8693795774683,26.9652634844024,6,0.886527057202681,0.274174679673991,0.125224372311925,0.0484909751421068,0.0969425550985766,"VILLA REAL",10,6,941.61882311549,0,0,6,0.702318085229423,0.3298949450451,0.102491936537564,0.0677563548387097,0.009551801,4.6309555445279,6,80.7449650885839,40749.9350737097,6.62579484982733,2.37112429885097,1.11120245637231,4.75025750606882,2.37112429885097
"7",7,7,13.9931640625016,0,0,6.95916231947081,285.292714172904,0,0,0,0,0,0,0,0,0,0,0,1447.62221721867,602.73079547533,139.795198567964,0.178040019746076,6.1809479674413,0,691.727834429986,2991.1356982519,52033.9448865209,57.1165354398062,0,0,0,0,0,0,0,0,0,59564.3653440377,79.149620131723,0,0,34.7024730858831,59482.4492283437,0,0,0,0,1,0,2384.11834026341,39351.0037802208,1447.62221721867,0,45161.7692376066,0,0,0,0,0,0,32.907930790381,18.9911416129961,31.8851812061337,18.9911416129961,33474.7784522732,0,0,605.428466193475,1020.84338216799,1257.95169555182,585.190442269927,230.294417677596,43.2864349068124,0,584.75706462534,91.1730659211016,26.2165647888828,584.75706462534,91.1730659211016,26.2165647888828,2.91033682490122,0.819942929198508,0.0751767913555449,0.970999999702455,0.970999999702455,0,0,0,0,0,0,50.8006104003842,40.766710617661,7,0.887916131346179,0.272085733859516,0.123302342032956,0.045417005245202,0.101939918115793,"VILLA REAL",10,7,711.129365549545,110.029467940624,42.9121475139496,7,0.702318085229423,0.3298949450451,0.102491936537564,0.0677563548387097,0.009551801,4.65343682337301,7,79.9158959332088,75635.2561708725,6.96844114125409,2.37112429885097,1.72721673451835,4.49786957055965,2.37112429885097
"8",8,8,0,0,0,0,322.277695530343,0,0,0,7.98018276000858,0,0,0,0,0,0,0,1476.99223188911,612.01685010721,5.934347561389,0.00490195296612771,7.34139042529196,0,132.002259941305,539.952104409165,11709.4810527403,10.0718751864571,0,0,0,0,0,0,0,0,0,53178.9169612992,69.3281062289201,0,0,26.9605797858121,52434.5628429022,0,0,0,0,1,0,2128.24651299405,38908.1280063298,1476.99223188911,0,36579.7032979487,0,0,0,0,0,0,38.2357503628784,16.5950308223969,37.1823101497591,16.5950308223969,33474.6497972389,0,0,613.073614064093,1034.20364777519,1305.65618721746,597.675450482407,221.439051530314,19.8638509632347,0,597.558444737591,80.0962693006609,86.1840573367683,597.558444737591,80.0962693006609,86.1840573367683,4.42404243037059,0.819980688245842,0.029320467414865,0.970999998539774,0.970999998539774,0,0,0,0,0,0,0,34.6336451825581,8,0.888603278088218,0.272085733859516,0.1214038533679,0.045417005245202,0.103647964212701,"VERSALLES",10,8,355.336390184561,0,0,8,0.706688839117407,0.331465598773164,0.0851864274381708,0.0627407661290323,0.009551801,4.67322436564643,8,84.0285643804255,18337.8321147294,6.85469134961122,2.37112429885097,0.988483193036249,4.75025750606882,1
"9",9,9,0,0,0,13.7401554717929,354.364904653735,0,0,0,7.98018276000858,8.59140513105806,0,0,0,0,0,0,1301.14900891587,551.902745560321,73.0205039821347,0.09562615593764,7.93584364476105,0,221.115466619013,857.312163637631,19852.1911647102,15.2009266080137,0,0,0,0,0,0,0,0,0,42130.9259376993,41.6860602380882,0,0,21.6011294391805,40500.153876215,0,0,0,0,1,0,2299.32251729986,38129.3589831632,1301.14900891587,0,27476.5627266871,0,0,0,0,0,0,38.2357503628784,13.3988166322678,37.1823101497591,13.3988166322678,33473.1362761674,0,0,553.184169835357,916.992559237761,1148.59643225274,543.384136052854,176.775448206491,16.3885858030661,0,542.125900359797,50.6994571857812,99.3358835460432,542.125900359797,50.6994571857812,99.3358835460432,2.91033682490122,0.819860004672905,0.029320467414865,0.970999980817775,0.970999980817775,0,0,0,0,6.03228176828831,0,0,16.5970511177606,9,0.891966878658125,0.273131498927834,0.11767643176374,0.0444042952874918,0.0985874589482933,"VERSALLES",10,9,786.767742136767,0,0,9,0.70906337156714,0.332343391044265,0.0797314300046664,0.0604001580645161,0.009551801,4.63252135134925,9,73.1560348373718,30307.767055552,6.51062529321536,1,1.97452051779411,5.48415628241889,1
"10",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185.76222650366,509.266986413269,67.1027432477297,0.105761129211336,7.93584364476105,0,107.133675199503,555.533123701522,14967.1659021403,4.41404886055521,0,0,0,0,0,0,0,2967.56954566677,0.519204763361352,21533.8697649692,13.6103440078951,0,0,8.59321803724994,19391.9781454319,0,0,0,0.0423652432951747,0.994518327410114,0,2274.3985377982,37177.3368243546,1185.76222650366,0,0,0,0,0,0,0,0,18.630471996634,13.3988166322678,17.8879390520988,13.3988166322678,33452.9494196003,0,7.55585770214989,510.442315467448,835.752345497825,1076.74555298632,503.632398228666,162.965922932677,15.7108170196762,0,502.324092098903,42.1916436165103,95.8575213796352,502.324092098903,42.1916436165103,95.8575213796352,1,0.819807611003993,0.0387860551745889,0.970999978695412,0.970999978695412,0,0,0,0,0,7.99371536996902,0,26.9652634844024,10,0.893928877888081,0.274174679673991,0.114039997288681,0.045417005245202,0.0937141915710014,"VERSALLES",10,10,220.694496524084,0,0,10,0.70906337156714,0.332343391044265,0.0797314300046664,0.0604001580645161,0.009551801,4.65886068499825,10,72.294095548852,23167.2099744436,5.32926032963642,1,2.0983306052002,5.48415628241889,1
"11",11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734.698577337548,683.858323848155,1361.01030547192,594.78692054751,182.917413307537,0.271072597772148,6.19701882468171,16.4638265047058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124.75416151219,43053.8000712723,1361.01030547192,0,0,0,0,0,0,0,0,12.1013972430495,8.68066935536887,11.5739841298759,8.68066935536887,33479.7637135388,0,9.59992309969494,595.80252702804,948.784856917844,1275.67331306802,574.720288244658,219.153139226932,51.7838898356427,0,573.120192638929,81.4186362548002,150.288428275098,573.120192638929,81.4186362548002,150.288428275098,4.42404243037059,0.819992735297167,0.100992513480247,0.970999999625113,0.970999999625113,0,0,0,0,0,0,32.8693795774683,45.9011430234616,11,0.898350263038452,0.272085733859516,0.108751438993334,0.0484909751421068,0.0859907381228071,"LINIERS",9,11,0,0,0,11,0.707686452349001,0.333212415717379,0.0807095674755016,0.0604001580645161,0.009551801,4.16310476473189,11,65.2462710142105,0,4.58982669920284,1,3.71519452358982,4.24106504337938,1
